Tweet #,Angry,Bored,Excited,Fear,Happy,Negative,Neutral,Positive,Sad,Sarcastic
1170,0.418970845,0.023134398,0.05871484,0.23734242,0.039102404,0.573,0.239,0.188,0.222735094,0.691876602
1171,0.198456178,0,0.525807128,0.107369323,0.139348208,0.219,0.496,0.285,0.029019164,0.205896357
1172,0.131899264,0.072055872,0.199909953,0.270185606,0.189411096,0.262,0.677,0.061,0.13653821,0.630626082
1173,0.213083336,0.13958412,0.217861046,0.200593939,0.127069162,0.242,0.374,0.384,0.101808396,0.437591949
1174,0.15689366,0.203391573,0.143099598,0.244738437,0.085450114,0.551,0.405,0.044,0.166426617,0.654974626
1175,0.197775964,0.052199296,0.304084906,0.210914741,0.124048966,0.614,0.267,0.119,0.110976127,0.560935429
1176,0.145391142,0.179084839,0.195130833,0.225089574,0.079485415,0.231,0.517,0.253,0.175818196,0.553722658
1177,0.213203021,0.083375891,0.117100879,0.286177827,0.047017915,0.769,0.197,0.034,0.253124468,0.684557798
1178,0.209385008,0.076174272,0.114892115,0.268549702,0.12500277,0.368,0.526,0.106,0.205996133,0.642053186
1179,0.314108036,0.13647826,0.098634582,0.19781483,0.07699145,0.399,0.446,0.155,0.175972842,0.539991427
1180,0.262500453,0.087832186,0.165477231,0.129669769,0.197648349,0.691,0.239,0.07,0.156872013,0.523643752
1181,0.24440979,0.050179355,0.128275129,0.242499002,0.097093466,0.402,0.482,0.117,0.237543258,0.582169101
1182,0.395052792,0.045443325,0.043967929,0.229758132,0.029002886,0.989,0.011,0.001,0.256774937,0.616897212
1183,0.3997358,0.153593725,0.109706772,0.100939494,0.10714141,0.905,0.054,0.041,0.128882799,0.530285045
1184,0.201311283,0.163295384,0.18535478,0.230684374,0.073830843,0.668,0.244,0.088,0.145523337,0.542369097
1185,0.144314444,0,0.290275425,0.234693489,0.239934312,0.032,0.453,0.516,0.09078233,0.375309927
1186,0.37463348,0.058852471,0.221434717,0.15893945,0.116184968,0.618,0.227,0.156,0.069954914,0.470964133
1187,0.436789698,0.066866193,0.112994079,0.197810882,0.0575297,0.434,0.46,0.106,0.128009448,0.336115225
1188,0.218409507,0.140207896,0.20731736,0.201286381,0.079229394,0.554,0.299,0.147,0.153549463,0.713467573
1189,0.280359123,0.072830922,0.204161358,0.162264767,0.154705499,0.692,0.217,0.091,0.12567833,0.516137859
1190,0.083892046,0.02603617,0.350283449,0.159735303,0.321187328,0.074,0.424,0.502,0.058865704,0.284023124
1191,0.255894727,0.201239057,0.110408942,0.158553019,0.091643219,0.511,0.36,0.129,0.182261035,0.657168921
1192,0.511667772,0.142576303,0.07387713,0.094917963,0.083804121,0.876,0.09,0.034,0.093156711,0.511983098
1193,0.43986127,0.12408925,0.045745928,0.149673243,0.040123618,0.868,0.104,0.027,0.20050669,0.652061808
1194,0.218363622,0,0.289923891,0.160997289,0.251431627,0.238,0.52,0.242,0.079283571,0.319775802
1195,0.272763327,0.261594385,0.092053981,0.123906128,0.074901637,0.791,0.161,0.048,0.174780542,0.60811657
1196,0.503917624,0.007507041,0.04268905,0.289971136,0.030349518,0.958,0.038,0.004,0.125565631,0.421376895
1197,0.394664249,0.104809298,0.076296618,0.171152161,0.086450367,0.772,0.132,0.095,0.166627307,0.47746594
1198,0.27000852,0.106733004,0.099736004,0.182975601,0.09649481,0.825,0.113,0.062,0.244052061,0.605954348
1199,0.351526785,0.189167182,0.045633776,0.137203404,0.029118102,0.797,0.183,0.02,0.247350751,0.767014567
1200,0.202806165,0.095788994,0.258926469,0.131051883,0.215560274,0.243,0.36,0.397,0.095866214,0.4730069
1201,0.253186021,0.122173449,0.100713457,0.209944299,0.082296895,0.834,0.127,0.039,0.231685881,0.580689315
1202,0.420725194,0.109940301,0.144809064,0.135672738,0.036609501,0.948,0.047,0.005,0.152243204,0.536760867
1203,0.307972446,0.132415691,0.112584048,0.121885315,0.09332434,0.724,0.249,0.027,0.23181816,0.539375223
1204,0.614055496,0.049213832,0.147036381,0.080611997,0.052830406,0.878,0.084,0.037,0.056251888,0.269307749
1205,0.385243662,0.125336684,0.054773266,0.214617782,0.037090642,0.828,0.141,0.031,0.182937965,0.520930506
1206,0.123740115,0.150679871,0.158802196,0.277778314,0.040247411,0.744,0.182,0.074,0.248752094,0.645107113
1207,0.454353594,0.048670139,0.078397335,0.156012628,0.047969945,0.709,0.191,0.099,0.214596359,0.553549709
1208,0.248438499,0.089953301,0.106892116,0.208954781,0.079684396,0.796,0.186,0.019,0.266076907,0.596319123
1209,0.487391679,0.059230945,0.093439126,0.136814834,0.050096353,0.887,0.083,0.03,0.173027063,0.580661028
1210,0.378897096,0,0.204120696,0.151920029,0.124244722,0.395,0.442,0.163,0.140817457,0.491522864
1211,0.266353629,0.200389994,0.158935807,0.177987914,0.038021708,0.75,0.181,0.069,0.158310947,0.636993903
1212,0.723377716,0.13398972,0.012537317,0.036456372,0.018269049,0.984,0.012,0.003,0.075369827,0.492982871
1213,0.291211994,0.192409316,0.066854504,0.190722054,0.037236526,0.805,0.182,0.013,0.221565606,0.696406948
1214,0.181303188,0.129876774,0.104139895,0.16030703,0.114386526,0.657,0.224,0.119,0.309986587,0.565620556
1215,0.136333677,0.060378729,0.338471872,0.138511559,0.242826881,0.163,0.22,0.617,0.083477283,0.452479648
1216,0.613324356,0.062808647,0.052539135,0.09218138,0.031790586,0.958,0.029,0.012,0.147355896,0.591009546
1217,0.114213661,0.100122085,0.26407356,0.29093428,0.092216918,0.115,0.607,0.278,0.138439496,0.506007971
1218,0.327694434,0.115910755,0.092643495,0.186622038,0.047745709,0.858,0.119,0.023,0.229383569,0.606978515
1219,0.249335877,0.052881261,0.05438582,0.226272028,0.043061179,0.472,0.482,0.046,0.374063836,0.527265104
1220,0.162793037,0.059158323,0.296951944,0.162955424,0.184144198,0.327,0.425,0.248,0.133997073,0.383129656
1221,0.161263657,0.151833119,0.172701003,0.2343126,0.128678099,0.272,0.463,0.266,0.151211522,0.483194011
1222,0.295471531,0.107194464,0.131132844,0.086737879,0.217983286,0.53,0.312,0.158,0.161479997,0.612030249
1223,0.364192382,0.155861697,0.111413001,0.162836651,0.061873504,0.773,0.19,0.037,0.143822765,0.531210303
1224,0.250846404,0.072380298,0.268370446,0.132018931,0.158557056,0.527,0.179,0.293,0.117826866,0.302116787
1225,0.21362316,0.052052623,0.213409661,0.118413498,0.267079667,0.418,0.401,0.181,0.135421392,0.517341039
1226,0.265319864,0.055065928,0.234896281,0.198333989,0.113539453,0.501,0.32,0.179,0.132844486,0.584694465
1227,0.293281223,0.072432451,0.119440173,0.213236171,0.076952252,0.799,0.17,0.031,0.22465773,0.648649181
1228,0.149975248,0.096545584,0.193375025,0.293318895,0.081867811,0.223,0.63,0.147,0.184917438,0.491695607
1229,0.248544652,0.057924601,0.113219914,0.294495541,0.052397364,0.577,0.356,0.068,0.233417928,0.586449017
1230,0.30801685,0.060128608,0.108121657,0.223977281,0.07535363,0.763,0.177,0.06,0.224401975,0.615517596
1231,0.149267441,0.027373863,0.210650303,0.37915416,0.103511369,0.245,0.535,0.22,0.130042865,0.383699421
1232,0.131114994,0.052734847,0.300517709,0.23300435,0.143796268,0.333,0.395,0.271,0.138831833,0.404349881
1233,0.402120068,0.12148488,0.08717662,0.131149119,0.072270926,0.931,0.058,0.011,0.185798388,0.669656418
1234,0.434540204,0.039487471,0.159465813,0.101376662,0.129310579,0.846,0.106,0.048,0.135819271,0.314489181
1235,0.214929769,0.176457707,0.146321764,0.136489888,0.174935666,0.616,0.31,0.074,0.150865207,0.667545307
1236,0.335641429,0.139033702,0.073243522,0.17388404,0.057652423,0.902,0.083,0.015,0.220544884,0.680542524
1237,0.353193354,0.247599668,0.023513665,0.138069455,0.010386285,0.963,0.035,0.003,0.227237573,0.642873531
1238,0.319095083,0.129975212,0.168833877,0.159170992,0.069369961,0.637,0.248,0.115,0.153554876,0.578979942
1239,0.357687979,0.06871364,0.155104166,0.19705477,0.077432462,0.493,0.339,0.168,0.144006983,0.569171127
1240,0.163301048,0,0.310043805,0.158357939,0.236526893,0.116,0.367,0.518,0.131770314,0.230281405
1241,0.303923279,0.048153304,0.261837311,0.179654179,0.068064585,0.455,0.361,0.184,0.138367342,0.498772717
1242,0.280776426,0.099702728,0.094137279,0.21918489,0.055549306,0.683,0.243,0.073,0.250649371,0.522607722
1243,0.095152551,0.527133861,0.047992622,0.091314744,0.066913528,0.221,0.594,0.185,0.171492694,0.563220387
1244,0.243998945,0.218607536,0.07080075,0.176040677,0.032919827,0.648,0.305,0.047,0.257632265,0.694344527
1245,0.439295106,0.093561919,0.068728074,0.076545022,0.201818244,0.839,0.075,0.086,0.120051636,0.628911494
1246,0.104690607,0.028827173,0.31655566,0.240760587,0.25023449,0.128,0.429,0.443,0.058931483,0.290213152
1247,0.275117261,0.347563507,0.038188482,0.126688753,0.021214253,0.757,0.193,0.05,0.191227745,0.780473056
1248,0.194498417,0.022747757,0.026114066,0.13538316,0.02309941,0.927,0.055,0.018,0.59815719,0.323580356
1249,0.17169746,0.102506627,0.221824626,0.194546944,0.177988893,0.223,0.556,0.222,0.131435452,0.562240649
1250,0.27771274,0.091133729,0.174335866,0.182953389,0.158503144,0.403,0.452,0.144,0.115361132,0.572541204
1251,0.095907434,0.050040834,0.165240511,0.270399951,0.146238227,0.08,0.368,0.552,0.272173043,0.52950383
1252,0.191922374,0.065383446,0.314494308,0.156831591,0.19226214,0.119,0.588,0.292,0.07910614,0.327148327
1253,0.249513177,0.073810273,0.07652777,0.230813222,0.087649201,0.482,0.421,0.097,0.281686358,0.772453598
1254,0.195255355,0.07340931,0.23499768,0.199441114,0.15850362,0.429,0.361,0.21,0.138392922,0.557299925
1255,0.164541943,0,0.267457043,0.133653845,0.226143081,0.471,0.161,0.367,0.208204089,0.265932418
1256,0.139942782,0.075015851,0.256704042,0.201682335,0.195994652,0.138,0.369,0.493,0.130660337,0.437939687
1257,0.715884123,0.058328396,0.051406164,0.050526895,0.035138194,0.928,0.056,0.017,0.088716227,0.53881198
1258,0.225973257,0.103428251,0.222284359,0.22255037,0.07589364,0.468,0.383,0.149,0.149870123,0.581018711
1259,0.165522257,0.014983818,0.041471942,0.249053557,0.044955526,0.762,0.184,0.054,0.484012901,0.209195926
1260,0.451695651,0.117123897,0.094254594,0.114607241,0.083879833,0.931,0.057,0.012,0.138438785,0.470362118
1261,0.599606417,0.035411836,0.031592117,0.10686093,0.021654876,0.951,0.045,0.004,0.204873825,0.540298386
1262,0.227986132,0.147917665,0.107786644,0.1974811,0.123341138,0.549,0.29,0.161,0.195487321,0.664509276
1263,0.270350356,0.05296637,0.254531604,0.159609943,0.192055456,0.217,0.65,0.132,0.070486271,0.620638423
1264,0.179349724,0.090352702,0.265926904,0.179071975,0.198677814,0.311,0.336,0.354,0.086620882,0.545165035
1265,0.312096815,0.174033128,0.120933617,0.175220423,0.100341391,0.4,0.486,0.115,0.117374626,0.627220526
1266,0.453399448,0.167112939,0.073493597,0.114554262,0.062104308,0.826,0.116,0.058,0.129335447,0.416038796
1267,0.220278048,0.099372622,0.174424679,0.117402336,0.237722692,0.598,0.208,0.194,0.150799624,0.535770181
1268,0.086937993,0.047327723,0.164155458,0.453570404,0.026153538,0.789,0.148,0.063,0.221854884,0.620742598
1269,0.286524985,0.063009386,0.208325087,0.122853046,0.164826729,0.38,0.308,0.312,0.154460769,0.472335401
1270,0.579821765,0.078677007,0.08035354,0.07847244,0.054923066,0.945,0.04,0.016,0.127752184,0.522676745
1271,0.469993873,0.025947719,0.120501112,0.099494585,0.100369795,0.78,0.156,0.064,0.183692917,0.479237087
1272,0.304228975,0.134790062,0.102673271,0.193625289,0.078960806,0.703,0.242,0.056,0.185721596,0.547088278
1273,0.152549657,0.047561225,0.096936784,0.268043264,0.183437493,0.49,0.428,0.083,0.251471577,0.357244925
1274,0.088433848,0.032418039,0.303971533,0.193434577,0.28939221,0.082,0.286,0.632,0.092349793,0.426264089
1275,0.582597246,0.058382281,0.040354355,0.101600347,0.044334774,0.949,0.045,0.006,0.172730997,0.707626888
1276,0.090245662,0.054662907,0.288803982,0.11767533,0.370752046,0.153,0.578,0.269,0.077860074,0.531671541
1277,0.751038561,0.031499366,0.016871642,0.056580159,0.01807562,0.908,0.06,0.032,0.125934653,0.522248894
1278,0.182989227,0.048752918,0.079006477,0.404633227,0.047853383,0.927,0.047,0.026,0.236764767,0.306163555
1279,0.178251985,0.040460789,0.189448502,0.157430307,0.309947401,0.761,0.181,0.058,0.124461017,0.386820974
1280,0.255030288,0.074249132,0.088356755,0.199496622,0.0682624,0.753,0.207,0.04,0.314604803,0.557917397
1281,0.307429327,0.173749498,0.181116297,0.12778921,0.081787144,0.457,0.328,0.214,0.128128525,0.655042086
1282,0.207381922,0.180402058,0.121638963,0.250556962,0.089182972,0.477,0.448,0.074,0.150837124,0.560342788
1283,0.215321194,0.041037842,0.102832451,0.218796843,0.083878519,0.41,0.479,0.112,0.338133151,0.428121307
1284,0.353995675,0.098572798,0.248637551,0.078973822,0.153711135,0.663,0.204,0.133,0.066109019,0.517241975
1285,0.153319641,0.077790591,0.180752795,0.287559682,0.102018457,0.565,0.292,0.143,0.198558834,0.631741526
1286,0.239515961,0.180449222,0.130748004,0.213490425,0.075356799,0.865,0.094,0.041,0.160439589,0.488110506
1287,0.084831849,0.046396006,0.217067915,0.305087094,0.18011959,0.163,0.573,0.263,0.166497546,0.465303911
1288,0.409357753,0.104680626,0.060153886,0.156084691,0.066066126,0.674,0.249,0.077,0.203656918,0.674007976
1289,0.168595821,0.094744378,0.185211061,0.242031384,0.158753411,0.536,0.36,0.104,0.150663946,0.695249968
1290,0.228293109,0.103683861,0.104344333,0.187359384,0.091204907,0.624,0.324,0.052,0.285114406,0.571739514
1291,0.358333119,0.123934742,0.047519715,0.147186179,0.054612274,0.842,0.126,0.032,0.268413971,0.658080554
1292,0.370346233,0.030394705,0.19678327,0.087230876,0.174103466,0.388,0.286,0.326,0.14114145,0.391342775
1293,0.365838625,0.056915165,0.098604442,0.191015275,0.058663507,0.875,0.096,0.03,0.228962985,0.651602548
1294,0.332461422,0.086541543,0.081799296,0.170293454,0.096937849,0.849,0.128,0.023,0.231966436,0.625160395
1295,0.245471124,0.02990977,0.103369866,0.431566937,0.043405136,0.853,0.11,0.037,0.146277168,0.383451183
1296,0.143742815,0.121699254,0.175420474,0.330494532,0.08197885,0.614,0.314,0.072,0.146664076,0.588590927
1297,0.165867807,0.122927882,0.064230505,0.15288627,0.138846218,0.892,0.083,0.025,0.355241318,0.333741017
1298,0.206393955,0.049092407,0.221990272,0.182111563,0.162272194,0.751,0.216,0.033,0.178139609,0.533555488
1299,0.137932654,0.084855153,0.244936979,0.273065061,0.124555921,0.264,0.401,0.335,0.134654232,0.603499258
1300,0.150741951,0.077757669,0.193501143,0.266287901,0.100018053,0.398,0.399,0.204,0.211693283,0.550416859
1301,0.309185006,0.139502781,0.113405581,0.190381197,0.061154431,0.544,0.322,0.134,0.186371005,0.538632086
1302,0.508561163,0.007909916,0.033591973,0.191639113,0.028104509,0.818,0.15,0.031,0.230193326,0.591233256
1303,0.562152072,0.041225765,0.107696796,0.112259636,0.095847682,0.777,0.176,0.048,0.08081805,0.529089775
1304,0.204989298,0.158555066,0.126473781,0.216506617,0.060314164,0.524,0.377,0.099,0.233161073,0.691105162
1305,0.131082672,0.092009213,0.250641272,0.25544272,0.128044073,0.189,0.537,0.274,0.142780051,0.443658967
1306,0.291414908,0.245525306,0.091581879,0.134260349,0.092908908,0.396,0.388,0.216,0.144308651,0.564913305
1307,0.095667894,0.041001268,0.258370396,0.172683552,0.361920837,0.059,0.339,0.602,0.070356054,0.289107355
1308,0.124385652,0.087121391,0.104657574,0.298958685,0.0642099,0.353,0.44,0.207,0.320666798,0.512831735
1309,0.308449788,0.206445311,0.042642832,0.18216686,0.030273592,0.857,0.134,0.009,0.230021618,0.645929565
1310,0.502545362,0.049562159,0.022966537,0.301071428,0.01235055,0.941,0.046,0.013,0.111503965,0.373297088
1311,0.265031811,0.061073367,0.064508418,0.149572065,0.100338873,0.835,0.136,0.029,0.359475465,0.554859508
1312,0.389624041,0.098446778,0.125191086,0.1423526,0.084678109,0.798,0.157,0.045,0.159707387,0.545638868
1313,0.194223253,0.13178269,0.191576779,0.158320667,0.187217541,0.363,0.279,0.358,0.13687907,0.53695819
1314,0.464073196,0.068763292,0.148153635,0.119431174,0.087882641,0.842,0.102,0.056,0.111696062,0.474775189
1315,0.375940443,0.244063467,0.063181501,0.111147779,0.03380097,0.832,0.134,0.034,0.171865839,0.686137864
1316,0.204873929,0.061813669,0.187986636,0.126138593,0.186338196,0.571,0.287,0.142,0.232848977,0.529148427
1317,0.342334067,0.038001954,0.230336268,0.143751575,0.145746521,0.339,0.394,0.267,0.099829616,0.521071713
1318,0.210511648,0.109677527,0.154856137,0.201688111,0.125545856,0.529,0.352,0.119,0.197720721,0.633880366
1319,0.419509646,0.20170851,0.064441943,0.105582106,0.074534658,0.897,0.095,0.009,0.134223138,0.60085399
1320,0.351169729,0.104236041,0.231912651,0.124759273,0.098903039,0.542,0.315,0.142,0.089019268,0.449320618
1321,0.491753371,0.253610916,0.045728697,0.043449638,0.048925477,0.937,0.052,0.01,0.116531901,0.749535135
1322,0.228284503,0,0.289491153,0.159905298,0.267574901,0.228,0.603,0.17,0.054744146,0.213296905
1323,0.403747228,0.040186632,0.0491203,0.229013101,0.023497819,0.985,0.014,0.001,0.25443492,0.427063248
1324,0.103806255,0.323223247,0.141117076,0.210711686,0.036032732,0.618,0.286,0.096,0.185109004,0.607602463
1325,0.452702563,0.064478085,0.180975942,0.057561286,0.187974294,0.168,0.533,0.3,0.056307831,0.617321488
1326,0.403058826,0.046821663,0.167743763,0.134518973,0.092619363,0.638,0.156,0.206,0.155237412,0.422063285
1327,0.257285376,0.170121743,0.157148113,0.184936302,0.101924848,0.63,0.214,0.156,0.128583619,0.538723505
1328,0.238309969,0.154920857,0.154523678,0.176579868,0.138297702,0.753,0.166,0.081,0.137367926,0.59480501
1329,0.252320178,0.055536174,0.274052385,0.134133945,0.146248208,0.117,0.418,0.465,0.137709111,0.370722784
1330,0.526317943,0.134606993,0.061359709,0.089581454,0.046790835,0.929,0.053,0.018,0.141343067,0.589202946
1331,0.538190226,0.073683957,0.087884749,0.110540851,0.070282274,0.884,0.085,0.032,0.119417942,0.643564359
1332,0.070640373,0.018727175,0.148657797,0.449439414,0.078197007,0.235,0.588,0.176,0.234338235,0.444502347
1333,0.137883409,0.216680581,0.182173443,0.200565065,0.03892884,0.243,0.566,0.19,0.223768663,0.601666178
1334,0.302780301,0.087615252,0.105338426,0.249851698,0.035034732,0.863,0.098,0.038,0.219379591,0.607270977
1335,0.244379236,0.088792097,0.16026253,0.197185186,0.190807662,0.197,0.37,0.433,0.11857329,0.562452607
1336,0.180994718,0.060132878,0.080171748,0.288695299,0.085167838,0.847,0.136,0.017,0.304837519,0.62731566
1337,0.433638081,0.069250522,0.093694649,0.176775134,0.046726761,0.93,0.054,0.015,0.179914852,0.47295147
1338,0.639767454,0.02191872,0.1055644,0.088629659,0.031335414,0.691,0.226,0.083,0.112784353,0.452499955
1339,0.31795665,0.050139784,0.143746563,0.193231195,0.162929892,0.706,0.273,0.021,0.131995917,0.696622586
1340,0.239846947,0.0755178,0.055611269,0.182480029,0.046424237,0.829,0.148,0.023,0.400119718,0.61711617
1341,0.392739525,0.022218364,0.159553358,0.099626312,0.26909942,0.453,0.464,0.082,0.05676302,0.133287664
1342,0.42416229,0.107186276,0.10218235,0.106362797,0.12447037,0.746,0.154,0.1,0.135635918,0.600033768
1343,0.331428663,0.023395466,0.311301776,0.071966718,0.159354308,0.757,0.152,0.091,0.10255307,0.388459626
1344,0.219986379,0.118012433,0.210087594,0.200846095,0.154732522,0.529,0.282,0.189,0.096334978,0.530154671
1345,0.242430253,0.086975047,0.276886718,0.146523364,0.124465879,0.744,0.178,0.078,0.122718739,0.368427507
1346,0.309279713,0.138347611,0.071598254,0.179943035,0.035644069,0.757,0.226,0.017,0.265187317,0.768645528
1347,0.130914293,0.040913703,0.280117434,0.203635178,0.224354103,0.311,0.472,0.217,0.120065289,0.46333342
1348,0.335840844,0.377846313,0.041279106,0.090658788,0.025625715,0.879,0.104,0.017,0.128749234,0.731030446
1349,0.274109542,0.111546811,0.093106679,0.188448252,0.088525946,0.375,0.499,0.126,0.24426277,0.678273543
1350,0.27370965,0.193413484,0.106284959,0.165732441,0.055965521,0.329,0.462,0.209,0.204893945,0.808017381
1351,0.225206698,0.351629607,0.088369542,0.139682431,0.055216864,0.536,0.367,0.097,0.139894858,0.692678605
1352,0.313280975,0.028764059,0.091320073,0.224554624,0.060350044,0.839,0.13,0.031,0.281730226,0.469870392
1353,0.424250763,0.090871934,0.074930998,0.188189572,0.037450535,0.632,0.292,0.076,0.184306198,0.645717858
1354,0.254205941,0,0.161638524,0.160869214,0.168950591,0.365,0.546,0.089,0.254335731,0.232077646
1355,0.15434834,0.149397336,0.175002804,0.215774349,0.130853802,0.683,0.215,0.102,0.17462337,0.577446795
1356,0.260340842,0.129909314,0.121715254,0.246849214,0.083711439,0.48,0.459,0.061,0.157473937,0.596509208
1357,0.386832013,0.148501291,0.095240963,0.106427062,0.115033296,0.931,0.048,0.021,0.147965375,0.607078922
1358,0.222124594,0.193131957,0.127035354,0.17781943,0.126151676,0.775,0.166,0.059,0.15373699,0.54517728
1359,0.202530644,0.021713263,0.349265549,0.073242131,0.249350266,0.559,0.218,0.223,0.103898147,0.286970519
1360,0.092846882,0.094702945,0.271417039,0.279434088,0.097415819,0.193,0.534,0.273,0.164183227,0.452034866
1361,0.203421712,0.099353133,0.243619557,0.210233598,0.099252404,0.276,0.419,0.306,0.144119596,0.455606096
1362,0.320427248,0.126277788,0.136063934,0.147625275,0.114072639,0.698,0.254,0.048,0.155533117,0.583292551
1363,0.234816455,0.024069252,0.429590056,0.055809303,0.226713358,0.216,0.327,0.456,0.029001576,0.292158601
1364,0.104824093,0.047887057,0.272349762,0.181323432,0.26557815,0.393,0.36,0.247,0.128037506,0.288236975
1365,0.108055332,0.078742478,0.215689339,0.263044982,0.198020172,0.274,0.352,0.374,0.136447697,0.500245602
1366,0.687828103,0.024842573,0.013208596,0.070162848,0.012992543,0.921,0.075,0.004,0.190965337,0.619505825
1367,0.531945447,0.135528899,0.043016535,0.108812768,0.057419669,0.87,0.11,0.02,0.123276682,0.480310393
1368,0.126884751,0.041136029,0.247204154,0.2523526,0.179236416,0.305,0.354,0.341,0.15318605,0.462249089
1369,0.631081894,0.118257059,0.046630405,0.060477124,0.043431998,0.867,0.096,0.037,0.10012152,0.591366071
1370,0.263557413,0.27048114,0.053777465,0.125478231,0.061598711,0.633,0.193,0.174,0.225107042,0.633254188
1371,0.372213141,0.187166737,0.049626759,0.106968168,0.043060063,0.954,0.042,0.004,0.240965132,0.695934554
1372,0.682196283,0.058572719,0.033389474,0.06907829,0.066356145,0.927,0.04,0.033,0.09040709,0.522038866
1373,0.413617779,0.061801299,0.157554643,0.148772542,0.08953349,0.864,0.093,0.043,0.128720248,0.4465806
1374,0.154358272,0.066639026,0.125239662,0.331767254,0.067186354,0.402,0.536,0.062,0.254809431,0.65543646
1375,0.240717899,0.100496245,0.157117451,0.2359292,0.085442996,0.507,0.318,0.175,0.180296209,0.551415687
1376,0.070871175,0.085023601,0.174524182,0.37141626,0.131067951,0.099,0.859,0.042,0.167096832,0.602575424
1377,0.292748558,0.047160733,0.098050155,0.236061464,0.1489246,0.713,0.234,0.053,0.17705449,0.646225969
1378,0.179841737,0.167478689,0.151611473,0.184393323,0.118814958,0.172,0.638,0.191,0.19785982,0.611773283
1379,0.343395854,0.066677558,0.10435946,0.281858934,0.089309801,0.818,0.151,0.031,0.114398393,0.322518045
1380,0.211399375,0.019566368,0.257537471,0.261293183,0.07117136,0.699,0.193,0.108,0.179032243,0.437329845
1381,0.231909823,0.108111718,0.247276386,0.148214267,0.164318338,0.723,0.151,0.126,0.100169468,0.596590104
1382,0.301550649,0.136388242,0.108994526,0.179140721,0.050090815,0.742,0.217,0.041,0.223835048,0.669196175
1383,0.253775141,0.069685365,0.184215378,0.223137075,0.162766231,0.402,0.394,0.204,0.106420812,0.460863016
1384,0.197960687,0.051878157,0.084618347,0.220031298,0.081610071,0.327,0.56,0.113,0.363901441,0.461920061
1385,0.573905677,0.038449403,0.075518279,0.132215657,0.078568429,0.919,0.064,0.017,0.101342556,0.364387895
1386,0.200776606,0.088579243,0.086711425,0.318100644,0.028818917,0.282,0.672,0.047,0.277013165,0.656875399
1387,0.127164918,0.056763749,0.065453557,0.173151822,0.084673426,0.771,0.204,0.026,0.492792529,0.469511919
1388,0.17378334,0.030724018,0.216269919,0.103757851,0.393873481,0.078,0.421,0.501,0.081591392,0.460309289
1389,0.245982463,0.196879569,0.17626725,0.153694222,0.074234956,0.564,0.391,0.045,0.152941541,0.52366037
1390,0.317710111,0.045575207,0.137315267,0.201577705,0.100485176,0.481,0.318,0.202,0.197336534,0.551895181
1391,0.136632346,0.133398629,0.199762496,0.301104323,0.109859087,0.284,0.48,0.236,0.119243119,0.407417635
1392,0.14678474,0.051123406,0.241834827,0.169748152,0.286349523,0.224,0.279,0.497,0.104159352,0.301608508
1393,0.255018205,0.183275375,0.123050234,0.168737338,0.115167795,0.42,0.287,0.293,0.154751052,0.612328218
1394,0.393628243,0.07347235,0.162766224,0.159000284,0.061207618,0.901,0.078,0.02,0.149925281,0.477619939
1395,0.370500465,0.212075254,0.035361182,0.097014898,0.050320314,0.94,0.053,0.007,0.234727888,0.69763034
1396,0.156911054,0.07400098,0.210813484,0.243189392,0.172354559,0.527,0.34,0.134,0.142730531,0.477489275
1397,0.210758128,0.039659154,0.150367469,0.231175615,0.109065374,0.402,0.355,0.242,0.25897426,0.471893225
1398,0.249038619,0.047499313,0.102050158,0.204040036,0.076282084,0.846,0.118,0.036,0.32108979,0.428493062
1399,0.431540506,0.079441406,0.113519532,0.178463891,0.113774476,0.87,0.119,0.011,0.083260189,0.627478329
1400,0.590955771,0.062513206,0.043235404,0.142260517,0.025151117,0.988,0.01,0.002,0.135883986,0.48465456
1401,0.150746846,0.043768716,0.128525647,0.293178792,0.117945394,0.519,0.39,0.091,0.265834605,0.587647042
1402,0.536442025,0.118463209,0.040327051,0.098790715,0.02776752,0.818,0.143,0.038,0.17820948,0.702941064
1403,0.159590948,0.045513425,0.190142142,0.13788328,0.282837847,0.397,0.386,0.217,0.184032359,0.450336161
1404,0.278774791,0.081356036,0.179976367,0.09911641,0.223450565,0.176,0.386,0.438,0.137325832,0.372883026
1405,0.268372664,0.080476248,0.209667739,0.182679814,0.115935897,0.229,0.507,0.265,0.142867639,0.430210755
1406,0.16310009,0.065426258,0.157965846,0.298274937,0.11294389,0.392,0.481,0.126,0.20228898,0.580061645
1407,0.050440665,0.022151295,0.190400813,0.357297661,0.164112061,0.155,0.493,0.352,0.215597505,0.519341204
1408,0.220693576,0.159312127,0.178673163,0.189870881,0.09983803,0.444,0.454,0.102,0.151612224,0.5746322
1409,0.29346563,0.070669473,0.138833933,0.237182959,0.093897489,0.611,0.311,0.078,0.165950517,0.443725556
1410,0.156647883,0.209793014,0.09954173,0.311276301,0.023800172,0.428,0.488,0.084,0.198940899,0.633001441
1411,0.419620804,0.020570351,0.114989301,0.083543156,0.192655726,0.847,0.081,0.073,0.168620662,0.408275885
1412,0.273489722,0.159140381,0.094221795,0.180503018,0.065461026,0.726,0.175,0.099,0.227184058,0.465938598
1413,0.347144461,0.093977222,0.092361905,0.198469252,0.05721383,0.625,0.326,0.049,0.21083333,0.585207298
1414,0.310490595,0.084400854,0.213320397,0.128031415,0.140648102,0.492,0.362,0.146,0.123108637,0.54626919
