Tweet #,Angry,Bored,Excited,Fear,Happy,Negative,Neutral,Positive,Sad,Sarcastic
871,0.094931618,0.286463356,0.234201465,0.11752531,0.020378291,0.445,0.33,0.225,0.24649996,0.380239183
872,0.27369619,0.02953356,0.097053666,0.434713673,0.04260521,0.892,0.082,0.026,0.1223977,0.326632902
873,0.143424186,0.112051989,0.144009686,0.290091274,0.099239808,0.484,0.387,0.128,0.211183057,0.49433345
874,0.26898179,0.049291732,0.272861931,0.146098253,0.169591947,0.25,0.491,0.258,0.093174348,0.578924023
875,0.182317176,0.408747814,0.071926611,0.152744128,0.079521148,0.374,0.539,0.087,0.104743124,0.567296879
876,0.200656828,0.096001163,0.074737438,0.229057549,0.04698548,0.957,0.038,0.005,0.352561543,0.592723539
877,0.292912758,0.299286893,0.075310497,0.106659675,0.09255627,0.902,0.074,0.024,0.133273906,0.42517066
878,0.285858007,0.154968652,0.105200343,0.203281369,0.054782617,0.598,0.296,0.106,0.195909012,0.614638948
879,0.373543514,0.104573792,0.109361032,0.166823718,0.045658622,0.914,0.073,0.013,0.200039322,0.564682718
880,0.418139025,0.114904896,0.07525027,0.1617883,0.030433647,0.792,0.169,0.039,0.199483863,0.642220166
881,0.325865814,0.119003996,0.10720211,0.128412588,0.11854045,0.68,0.19,0.13,0.200975041,0.791557106
882,0.262390973,0.093748439,0.243383201,0.164772227,0.11457933,0.192,0.382,0.427,0.121125829,0.494902026
883,0.223106162,0.024463287,0.141703175,0.283693473,0.072478935,0.863,0.113,0.024,0.254554969,0.671490017
884,0.142137769,0.172606951,0.097924726,0.24405711,0.054184677,0.665,0.295,0.04,0.289088767,0.719413223
885,0.646685885,0.078283341,0.049073119,0.080539775,0.049537892,0.855,0.107,0.038,0.095879988,0.616611123
886,0.219555086,0.030985193,0.246172569,0.20072308,0.155386591,0.356,0.394,0.249,0.147177481,0.425613549
887,0.260989984,0.177347279,0.106314296,0.182380511,0.044093108,0.909,0.081,0.009,0.228874822,0.698570696
888,0.122362619,0.124560935,0.103844664,0.394263971,0.085170457,0.639,0.332,0.03,0.169797355,0.603758179
889,0.170380741,0,0.293077493,0.147532157,0.302189511,0.057,0.326,0.618,0.086820098,0.223190877
890,0.325343064,0.100133591,0.286706475,0.089645349,0.097342736,0.866,0.088,0.046,0.100828786,0.41473637
891,0.37694727,0.037450895,0.171343596,0.170665678,0.115622545,0.728,0.212,0.059,0.127970017,0.217036544
892,0.293607133,0.03518754,0.192045314,0.184000182,0.094636625,0.693,0.175,0.131,0.200523207,0.523361623
893,0.345207472,0.13340853,0.169974841,0.156147132,0.076526641,0.408,0.504,0.088,0.118735384,0.489371114
894,0.355922303,0.212765104,0.070080749,0.110487096,0.10968759,0.926,0.062,0.012,0.141057158,0.65944951
